名稱,藝人,作曲者,專輯,分類,作品,樂章編號,樂章,樂章名稱,類型,大小,時間長度,光碟編號,光碟數量,音軌編號,音軌數量,年份,修改日期,加入的日期,位元率,取樣頻率,音量調整,種類,等化器,註解,播放次數,最近播放,略過次數,上次略過的日期,喜好程度,位置
巴別塔慶典,吳青峰,Qing Feng Wu,太空人,,,,,,Mandopop,7644667,209,1,1,3,12,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/21 02:45,,,,
差不多姑娘,鄧紫棋,G.E.M.,摩天動物園,,,,,,Mandopop,8186420,230,1,1,8,13,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/26 22:48,,,,
倒數,鄧紫棋,G.E.M. & Lupo Groinig,另一個童話 - Single,,,,,,Mandopop,8074011,229,1,1,1,3,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/23 17:07,,,,
錯過不錯,鄧紫棋,Lupo Groinig & G.E.M.,另一個童話 - Single,,,,,,Mandopop,8446493,238,1,1,2,3,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
另一個童話,鄧紫棋,Lupo Groinig & G.E.M.,另一個童話 - Single,,,,,,Mandopop,6575093,183,1,1,3,3,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
說好不哭,周杰倫 & 五月天 阿信,,說好不哭 - Single,,,,,,Mandopop,7806769,222,1,1,1,1,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/27 02:20,,,,
一半人生 (韓寒電影《飛馳人生》主題曲),五月天 阿信,,一半人生 (韓寒電影《飛馳人生》主題曲) - Single,,,,,,Mandopop,9934192,278,1,1,1,1,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,,,,,
隱形的紀念,五月天 阿信,,隱形的紀念 - Single,,,,,,Mandopop,10623236,300,1,1,1,1,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/23 16:47,,,,
玫瑰少年,五月天,,玫瑰少年 - Single,,,,,,Mandopop,8565566,235,1,1,1,1,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,3.0,2025/5/27 02:16,,,,
洋蔥,五月天,,步步自選作品輯 1999-2013,,,,,,Mandopop,9930410,275,1,2,4,15,2013,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/27 01:10,,,,
第二人生,五月天,,第二人生 (明日版),,,,,,Mandopop,9335879,268,1,1,10,14,2011,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/24 01:27,,,,
派對動物 (Life Live),五月天,,五月天 人生無限公司 Life Live 完整收錄篇,,,,,,Mandopop,9806039,263,1,1,1,24,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/23 21:07,,,,
入陣曲 (Life Live),五月天,,五月天 人生無限公司 Life Live 完整收錄篇,,,,,,Mandopop,8971714,239,1,1,3,24,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/27 03:21,,,,
成名在望 (Life Live),五月天,,五月天 人生無限公司 Life Live 完整收錄篇,,,,,,Mandopop,12037213,335,1,1,11,24,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,,,,,
黑暗騎士 (Life Live),五月天,,五月天 人生無限公司 Life Live 完整收錄篇,,,,,,Mandopop,9136037,251,1,1,15,24,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,,,,,
Do You Ever Shine? (Life Live),五月天,,五月天 人生無限公司 Life Live 完整收錄篇,,,,,,Mandopop,8845578,242,1,1,17,24,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
任意門 (Life Live),五月天,,五月天 人生無限公司 Life Live 完整收錄篇,,,,,,Mandopop,9429097,266,1,1,20,24,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,3.0,2025/5/27 02:56,,,,
愛情的模樣 (feat. 田馥甄) [Life Live],五月天,,五月天 人生無限公司 Life Live 好友加班篇,,,,,,Mandopop,11087086,311,1,1,2,12,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/22 03:03,,,,
路過人間 (電視劇《我們與惡的距離》插曲),郁可唯,,路過人間 (電視劇《我們與惡的距離》插曲) - Single,,,,,,Mandopop,8652572,245,1,1,1,1,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/23 21:33,,,,
真的傻 (電影《一吻定情》追愛版主題曲),徐佳瑩,Jerry.C,真的傻 (電影《一吻定情》追愛版主題曲) - Single,,,,,,Soundtrack,8940218,256,1,1,1,1,2019,2022/12/28 12:57,,256,44100,,AAC音訊檔,,,,,,,,
